GivenName,Surname,StreetAddress,City,State,StateFull,ZipCode,EmailAddress,Username,Password,TelephoneNumber,MothersMaiden,Birthday,Age,CCNumber,CVV2,NationalID,BloodType,Kilograms,Centimeters,Latitude,Longitude
Jennifer,Carroll,162 Lake Floyd Circle,Eagleville,DE,Delaware,19403,JenniferRCarroll@teleworm.us,Dure1927,fuQuaeng6,302-218-2496,Sutton,11/17/1927,89,4.56E+15,455,222-05-5081,A+,82.1,169,40.133187,-75.49255
Irene,Womack,4874 Cameron Road,Cheektowaga,NY,New York,14227,IreneTWomack@cuvox.de,Inare1951,ooFeefo5ee,716-316-3463,Paul,7/16/1951,65,5.35E+15,297,081-32-7834,A-,53.3,171,42.856105,-78.719614
Barbara,Webb,3068 Hartland Avenue,Oshkosh,WI,Wisconsin,54901,BarbaraRWebb@einrot.com,Butrunk,ahNahw3uoch,920-303-3932,Jackson,6/20/1937,80,4.56E+15,685,394-01-5375,O+,96.7,151,43.979818,-88.457423
Michael,Vannatta,837 Adams Avenue,Frederick,MD,Maryland,21701,MichaelJVannatta@gustr.com,Sculithe,shi7Quo2x,301-619-9203,Goodlett,4/11/1978,39,5.25E+15,445,220-42-4537,A+,96.1,183,39.511091,-77.340763
Jerry,Schaeffer,3638 Maxwell Street,Hartford,CT,Connecticut,6103,JerryJSchaeffer@superrito.com,Thadingthad58,Uisap6OhNg,860-730-6558,Phillips,11/13/1958,58,5.33E+15,117,046-90-7727,O+,101.3,179,41.804391,-72.624818
Esther,Pham,1515 Shingleton Road,Grand Rapids,MI,Michigan,49503,EstherEPham@armyspy.com,Betuterien67,sei9ie4Oulai,269-405-5500,Scott,1/4/1967,50,5.33E+15,800,384-48-0773,B-,70.4,170,42.888671,-85.583931
Fritz,Cunningham,3475 Archwood Avenue,Mountain View,WY,Wyoming,82939,FritzMCunningham@fleckens.hu,Videreps,ia9Eog5Gae,307-744-6593,Frederick,6/3/1963,54,5.39E+15,281,520-05-0865,A-,75.5,187,41.177469,-110.34617
John,Hill,4114 Grasselli Street,Wolfeboro,NH,New Hampshire,3894,JohnSHill@fleckens.hu,Crouniontim,Kaivie0vam6,603-515-6434,Marroquin,8/13/1937,79,5.58E+15,117,003-30-2011,O+,97.6,169,43.52581,-71.116664
Michael,Rivera,779 Tree Frog Lane,Kansas City,MO,Missouri,64151,MichaelMRivera@armyspy.com,Lockill,Maech6ooNg,816-505-7923,Henderson,5/8/1972,45,4.56E+15,417,497-94-6453,O+,64,183,39.196245,-94.66171
Tony,Beverly,3697 Scott Street,Poughkeepsie,NY,New York,12601,TonySBeverly@cuvox.de,Vinly1980,QuooNgu0,845-430-6679,Mitchell,1/15/1980,37,5.15E+15,6,053-07-8844,A-,93,177,41.74992,-73.888875
Richard,Geiger,1746 Nixon Avenue,Ohio City,OH,Ohio,45874,RichardAGeiger@rhyta.com,Wormout,zah5feeNook,419-965-8565,Goodman,4/15/1987,30,4.72E+15,474,291-50-2359,A+,106.9,174,40.708925,-84.647803
Danny,Oneil,2473 Oakwood Circle,Rancho Santa Margarita,CA,California,92688,DannyVOneil@teleworm.us,Witur1957,noiG3reeSi,949-387-5767,Stevenson,4/16/1957,60,5.46E+15,944,603-40-9462,B+,102.9,182,33.568644,-117.664379
Shelby,Compos,4035 Colony Street,Stamford,CT,Connecticut,6902,ShelbyCCompos@einrot.com,Gins1985,ohrahDo2io,203-280-2636,Singletary,9/27/1985,31,4.53E+15,358,040-96-3388,B+,61.9,158,41.020022,-73.617667
Genevieve,Stanley,3491 Earnhardt Drive,Louisville,KY,Kentucky,40202,GenevieveRStanley@jourrapide.com,Gionit35,eeHeid9esh,502-663-3805,Dickerson,4/8/1935,82,4.53E+15,905,403-45-1891,A+,59.3,150,38.319013,-85.691824
Mona,Rose,1870 Burke Street,Malden,MA,Massachusetts,2148,MonaRRose@teleworm.us,Lockinsond,ohMoon3Ee,781-338-2269,Beatty,1/18/1957,60,5.27E+15,725,033-84-8631,O+,87.6,158,42.522771,-71.10248
Eric,Morales,1529 Brown Avenue,Greenville,SC,South Carolina,29607,EricSMorales@armyspy.com,Whilent,Thaen4Fuujei,864-915-9292,Grillo,9/7/1974,42,5.51E+15,893,250-91-1592,A+,96.1,167,34.788891,-82.3467
Sidney,Sperry,142 Lighthouse Drive,Dora,MO,Missouri,65637,SidneyPSperry@dayrep.com,Acks1989,teeNoh1oh,417-261-4037,Byers,12/18/1989,27,4.54E+15,219,488-15-3299,AB+,75.8,183,36.834482,-92.1718
Samuel,Kennedy,3681 Ashcraft Court,San Diego,CA,California,92101,SamuelMKennedy@fleckens.hu,Ancell,aeLiezieco5,619-319-9675,Barrera,3/1/1941,76,4.92E+15,344,558-70-2366,O+,76.9,164,32.732512,-117.074466
Alexandria,Domingo,3234 Poplar Lane,Fort Lauderdale,FL,Florida,33301,AlexandriaDDomingo@armyspy.com,Thatrated,Xah1eudoosie,305-537-2812,Nunez,9/14/1950,66,5.24E+15,595,771-36-6626,B+,79.5,167,26.061888,-80.156678
Sheena,Pless,3054 Hidden Valley Road,Carlisle,PA,Pennsylvania,17013,SheenaJPless@rhyta.com,Therb1930,OhXeeSh2oh,717-243-3923,Russell,1/15/1930,87,5.55E+15,553,164-72-8231,O-,60.7,151,40.17648,-77.264773
Brenda,Scott,1311 Walnut Avenue,Jersey City,NJ,New Jersey,7305,BrendaJScott@superrito.com,Ourich,ze0Shae1yoh,201-490-9309,McKee,6/25/1923,94,5.48E+15,315,156-34-0151,A+,69.4,163,40.670477,-74.155131
Ray,Belmonte,796 Garfield Road,Peoria,IL,Illinois,61615,RayHBelmonte@gustr.com,Exte1957,US9hiesie,309-696-8881,Tullos,10/1/1957,59,5.38E+15,719,327-30-8415,A+,82.9,184,40.6986,-89.56196
Tammy,Nichols,19 Ocala Street,Orlando,FL,Florida,32805,TammyJNichols@superrito.com,Naceren,eoP0Lah7,407-409-5904,Messina,6/2/1978,39,4.92E+15,915,261-57-1289,O-,61.2,166,28.573136,-81.32772
Margaret,Brewster,673 Hoffman Avenue,New York,NY,New York,10016,MargaretEBrewster@fleckens.hu,Likentich,aiXeezooph4Ph,917-858-3608,Gallagher,6/21/1985,32,5.15E+15,847,058-94-3194,A+,99.5,165,40.705111,-73.926426
Kevin,Evans,2801 Brooklyn Street,Berryville,VA,Virginia,22611,KevinCEvans@rhyta.com,Haideatel1953,Yeisai4ie,540-955-4813,Carroll,10/29/1953,63,5.60E+15,309,230-95-5812,O+,81.6,182,39.119421,-78.024399
Dorothy,Rivera,4444 Edwards Street,New Bern,NC,North Carolina,28560,DorothyGRivera@gustr.com,Mostaks,ieju7Rejoh,252-658-8510,Cardwell,4/13/1989,28,5.52E+15,591,686-01-1520,A+,97.2,169,35.25405,-77.038641
Matthew,Dobbs,757 Cliffside Drive,Binghamton,NY,New York,13901,MatthewMDobbs@armyspy.com,Musection,jiagh7Foo,607-352-0704,Irwin,12/20/1977,39,5.50E+15,630,124-60-1591,O+,84,176,42.162756,-75.808045
Arthur,Williams,1632 Maple Street,Anaheim,CA,California,92805,ArthurAWilliams@rhyta.com,Maret1975,Eeghie2Oosh,714-304-6747,Normandin,12/7/1975,41,4.93E+15,17,562-65-8325,B+,102.4,173,33.882441,-117.888569
Connie,Christiansen,1983 Kinney Street,Springfield,MA,Massachusetts,1105,ConnieSChristiansen@einrot.com,Hadet1921,choo6Shie1zie,413-464-5332,Johnson,10/1/1921,95,4.93E+15,85,032-01-5702,O+,89.2,154,42.1521,-72.588081
Randal,Parenteau,3073 Chardonnay Drive,Seattle,WA,Washington,98161,RandalTParenteau@armyspy.com,Niname,aeng6itaaGh,360-259-7553,Barrientez,6/10/1982,35,5.25E+15,874,532-92-2749,O+,110.5,170,47.525253,-121.749035
Paulette,Byrd,1805 Carriage Court,Oceanside,CA,California,92054,PauletteLByrd@armyspy.com,Drel1972,sooM7wae,760-435-9721,Lopez,8/17/1972,44,4.54E+15,996,612-03-3294,A-,80.2,166,33.367582,-117.391258
Christopher,Romero,1633 May Street,Monticello,KY,Kentucky,42633,ChristopherBRomero@gustr.com,Pretage,Ey2ce9eu,606-343-4993,Blanton,12/31/1974,42,5.26E+15,468,402-86-3098,A+,81.8,183,36.80388,-84.760793
Michael,Sheehan,3654 Buena Vista Avenue,Eugene,OR,Oregon,97404,MichaelDSheehan@einrot.com,Orrut1957,OohaiP1oh,541-607-1707,Haynes,10/1/1957,59,5.54E+15,745,540-54-7100,A+,103.7,173,44.047288,-123.194594
Samuel,Kelly,358 Bernardo Street,Vincennes,IN,Indiana,47591,SamuelJKelly@rhyta.com,Huglinfely,Euf8Iex5a,812-899-0698,Taylor,3/19/1974,43,5.32E+15,317,314-25-6852,O+,75.6,175,38.68191,-87.618357
Joseph,Salcido,3786 Kennedy Court,Cambridge,MA,Massachusetts,2141,JosephSSalcido@gustr.com,Washat,shoo4OoK9mi,774-252-7971,McGuire,4/26/1983,34,5.47E+15,62,034-68-2005,A+,93.3,180,42.280994,-71.023851
Rosalyn,Hodges,3120 Twin Oaks Drive,Harrietta,MI,Michigan,49638,RosalynMHodges@cuvox.de,Thrusled,Jei6Ohl4,231-389-3449,Green,3/26/1982,35,4.49E+15,411,374-58-3761,B+,102.5,155,44.372,-85.659727
Tanna,Tomas,245 Williams Avenue,Bakersfield,CA,California,93307,TannaRTomas@jourrapide.com,Dessentonte,xieToocoh3,661-303-2984,Kees,11/26/1964,52,5.29E+15,386,604-41-1764,B+,91.5,157,35.236068,-118.961394
Daniel,Kolb,350 Hilltop Street,Springfield,MA,Massachusetts,1103,DanielJKolb@superrito.com,Parpur,eng4IequePei,413-758-8731,Riendeau,10/29/1969,47,5.16E+15,39,033-30-8093,B-,86,180,42.085719,-72.647862
Forrest,Young,3695 Par Drive,Goleta,CA,California,93117,ForrestTYoung@armyspy.com,Torlut,Keobaij5ou,805-878-0918,Marrero,10/8/1979,37,4.54E+15,336,559-94-5488,O+,106,168,34.491274,-120.058141
Johnny,Rutland,654 Masonic Hill Road,Little Rock,AR,Arkansas,72212,JohnnyBRutland@rhyta.com,Hishoupers,ie2mo8Bie7,501-552-1550,Delgado,3/15/1932,85,4.53E+15,38,432-77-8120,O+,72.2,176,34.730115,-92.38409
Roy,Apple,224 White Lane,Forsyth,GA,Georgia,31029,RoyHApple@gustr.com,Laze1943,Eec8hur1,478-974-4717,Hysell,3/29/1943,74,4.53E+15,677,253-43-8570,A+,95.4,184,32.961464,-83.927301
Beatriz,Herrera,1795 Young Road,Nampa,ID,Idaho,83651,BeatrizRHerrera@rhyta.com,Bributly,oiSh1ie8Haz,208-468-8731,Harp,5/2/1988,29,5.53E+15,603,519-05-1582,O+,48.6,165,43.549983,-116.544323
Daniel,Pineda,3466 Victoria Street,Baton Rouge,LA,Louisiana,70801,DanielBPineda@dayrep.com,Allepabuse,vuSh8thie,225-205-0768,Mitchell,8/23/1961,55,4.49E+15,396,662-07-4013,A+,65,182,30.413947,-91.190478
Marilou,Tillman,1299 Langtown Road,Toledo,OH,Ohio,43609,MarilouDTillman@superrito.com,Bron1975,siep7eimaD,567-391-6617,Miller,9/30/1975,41,5.20E+15,724,280-24-1675,A+,53.4,169,41.694583,-83.564927
Bobbie,Franklin,1791 Norma Avenue,Dayton,OH,Ohio,45406,BobbieWFranklin@teleworm.us,Whemand,aeK4dohh9zu,937-230-5698,Sloan,7/7/1928,88,5.24E+15,963,277-50-8469,O+,48.1,169,39.833851,-84.195004
Christina,Lucas,4061 Collins Avenue,Worthington,OH,Ohio,43085,ChristinaALucas@rhyta.com,Hickinurpoll,vogh2ieLunee,614-840-2985,Cooper,11/28/1930,86,4.53E+15,986,284-28-3798,A-,77.4,155,40.009718,-82.966606
Karen,Adams,807 Brannon Street,Los Angeles,CA,California,90017,KarenDAdams@fleckens.hu,Popes1977,jei4Iateec,213-223-5616,Hostetter,7/9/1977,39,4.54E+15,336,610-31-4340,O+,84.4,173,34.067008,-118.325921
Beverly,Bowyer,531 Hampton Meadows,Cambridge,MA,Massachusetts,2142,BeverlyBBowyer@teleworm.us,Nack1935,ta8Ohdousu,978-330-0719,Littleton,9/27/1935,81,5.44E+15,312,021-16-2225,A+,88.8,151,42.289045,-71.063794
Patricia,Valle,3653 B Street,Eagan,MN,Minnesota,55121,PatriciaNValle@rhyta.com,Nobster,iy6ahX0ph,651-681-8361,Cathey,5/11/1958,59,4.72E+15,569,471-11-2801,O+,65.4,165,44.759575,-93.148507
Frank,Davis,4407 Railroad Street,Newberry,MI,Michigan,49868,FrankEDavis@rhyta.com,Nore1981,gei6cha6guN,906-293-8175,Attebery,9/9/1981,35,4.92E+15,469,384-27-3619,B+,91,184,46.439001,-85.5819
Josephine,Steele,2651 Olive Street,Toledo,OH,Ohio,43602,JosephineBSteele@einrot.com,Thentin,Heish8Tei9,419-309-3290,Roque,4/16/1941,76,5.12E+15,394,293-46-0125,A+,52.3,155,41.694554,-83.622965
Anthony,Johnson,2626 Davis Court,Evansville,IL,Illinois,62242,AnthonyJJohnson@teleworm.us,Hict1931,iek2FahBei6,618-853-0091,Martinez,3/3/1931,86,4.72E+15,777,351-22-2251,B+,66.8,179,38.033165,-90.064455
Danny,Burger,4093 Seth Street,Comanche,TX,Texas,76442,DannyEBurger@armyspy.com,Cruldempan,Ooph2iesoh,325-356-7597,McGill,9/4/1941,75,4.92E+15,70,631-24-3879,O+,98.5,169,31.866878,-98.635029
Genevive,Taylor,3833 McDonald Avenue,Altamonte Springs,FL,Florida,32714,GeneviveLTaylor@armyspy.com,Youb1971,Aa0ooc4Oh,407-869-7514,Wentworth,10/1/1971,45,4.72E+15,380,772-46-6942,A+,79.8,161,28.626328,-81.364051
Charles,Desouza,4885 Little Acres Lane,Dalton City,IL,Illinois,61925,CharlesBDesouza@gustr.com,Wiffaided,je6tuKimeiNg,217-874-5697,Harris,1/13/1959,58,5.20E+15,533,345-01-1500,O+,67.1,178,39.806664,-88.906024
Rebecca,Isaacs,2526 McDonald Avenue,Orlando,FL,Florida,32809,RebeccaMIsaacs@dayrep.com,Naters,Ohceehi0,407-825-5620,Ouzts,3/28/1923,94,4.54E+15,404,768-36-8252,O+,67,153,28.397779,-81.482791
Linda,Ralph,73 Terra Street,Tenino,WA,Washington,98589,LindaMRalph@armyspy.com,Whounner,lu6AeTohV,360-278-4630,Grantham,8/7/1954,62,4.56E+15,261,536-10-1235,O+,82.1,168,46.898681,-122.870413
Catherine,Mercer,1252 Oakridge Farm Lane,New Berlin,WI,Wisconsin,53151,CatherineJMercer@gustr.com,Candia,eeghee2Aa,262-358-3729,Howard,1/29/1922,95,5.52E+15,642,399-04-0805,O+,54.1,160,43.008446,-88.030586
Timmy,Nelson,266 Old House Drive,Baltimore,OH,Ohio,43105,TimmyGNelson@teleworm.us,Whormill,leu0aiQuai,740-862-4092,May,1/1/1951,66,5.17E+15,974,292-50-3463,O+,82.8,184,39.843366,-82.676676
Eric,Jones,929 Hickory Street,Salt Lake City,UT,Utah,84104,EricSJones@gustr.com,Distaild1943,Oohee8tuova4,801-792-1955,Barnett,5/13/1943,74,4.56E+15,248,647-84-2201,O+,60.8,176,40.83182,-111.926781
Jean,Andrews,3687 Crosswind Drive,Bowling Green,KY,Kentucky,42101,JeanTAndrews@cuvox.de,Wayage48,neePhoo1eiqu,270-901-1138,Reeder,12/8/1948,68,4.92E+15,537,401-78-3792,B+,76.4,182,37.137892,-86.444936
Carl,Payne,809 Wright Court,Cahaba Heights,AL,Alabama,35243,CarlSPayne@armyspy.com,Whippercunch,mezei5Faet8,205-977-9761,Brickner,2/6/1945,72,4.54E+15,550,421-76-8733,A+,103.8,165,33.454483,-86.768757
Loni,Theriot,379 Fort Street,Seattle,WA,Washington,98161,LoniGTheriot@fleckens.hu,Witions,ku1ahk2M,253-212-5842,Bracken,2/6/1957,60,4.54E+15,445,531-45-7184,B-,87.8,162,47.339777,-121.864627
Steven,Handy,3607 Arbutus Drive,Miami,FL,Florida,33147,StevenLHandy@superrito.com,Yeaboopple,xeas1Uyee,305-909-4011,Winston,4/5/1987,30,5.13E+15,665,768-44-5323,B+,73.5,180,25.757013,-80.236819
Syble,Harris,3934 Thomas Street,Chicago,IL,Illinois,60607,SybleAHarris@armyspy.com,Larmen,aith4aewieX,847-563-3846,Satterwhite,11/12/1925,91,4.49E+15,519,360-50-2186,O+,86.5,158,41.962192,-87.66227
Betty,Schultz,1893 Duncan Avenue,Garden City,NY,New York,11530,BettyRSchultz@cuvox.de,Gollond,ohne7ro3Wee,917-605-4135,Roberts,2/5/1988,29,5.32E+15,465,052-86-7412,O+,63.6,162,40.644596,-73.602568
Carroll,Pfister,2017 Layman Avenue,Raeford,NC,North Carolina,28376,CarrollZPfister@teleworm.us,Abdad1938,ad8foa0Rool,910-878-6161,Goldman,10/3/1938,78,4.92E+15,726,242-01-6056,B+,90.8,164,35.043683,-79.201733
Meryl,Stewart,4215 Pine Street,Portland,PA,Pennsylvania,97205,MerylRStewart@rhyta.com,Togand,Tol4Ahghien,724-299-0653,Lindsay,9/1/1962,54,4.72E+15,437,197-26-3437,O+,64.7,171,45.616557,-122.649098
William,Long,4406 Coal Road,Dallas,PA,Pennsylvania,18612,WilliamTLong@jourrapide.com,Priback23,aekoap9See,570-627-8284,Maske,5/5/1923,94,4.72E+15,318,177-54-7348,O+,67.6,172,41.417352,-75.910782
Robert,Winkler,3413 Lincoln Street,Surf City,NJ,New Jersey,8008,RobertRWinkler@jourrapide.com,Evely1981,Ooch6zuiG,609-494-5774,Hansel,3/11/1981,36,4.56E+15,750,137-94-7323,B+,112.7,187,39.571081,-74.264958
Evangelina,Bruner,2250 Fairfax Drive,Red Bank,NJ,New Jersey,7701,EvangelinaABruner@rhyta.com,Takedent,ool6oV8AoT,908-913-6434,Ramos,4/23/1943,74,4.49E+15,275,146-44-5778,A+,56.2,153,40.307865,-74.008113
Susan,Boss,3713 Peck Street,Lisbon,NH,New Hampshire,3585,SusanABoss@rhyta.com,Frome1952,teizur4Akaequ,603-838-7112,Ford,8/8/1952,64,5.34E+15,50,003-18-5574,B+,98.2,165,44.21725,-71.786895
Edwin,Miller,2924 Bicetown Road,New York,NY,New York,10013,EdwinEMiller@jourrapide.com,Estoom,esh9eKooL,917-383-9511,Russo,9/16/1927,89,5.31E+15,13,129-82-1990,O+,84.2,168,40.642108,-74.078385
Curtis,Bell,1544 Morgan Street,Pensacola,FL,Florida,32514,CurtisLBell@armyspy.com,Traideckon,dohl7Airas5,850-475-6664,Mack,4/5/1960,57,4.49E+15,43,772-26-9595,AB+,104.7,176,30.564765,-87.267969
Mozelle,Nichols,1115 Joseph Street,New Berlin,WI,Wisconsin,53151,MozelleCNichols@fleckens.hu,Alock1962,Ood2ooz7th,262-822-2189,Metoyer,4/1/1962,55,5.25E+15,930,395-21-0399,B+,70,172,43.014059,-88.143253
Elizabeth,Justice,3379 Rose Avenue,Harahan,LA,Louisiana,70123,ElizabethVJustice@dayrep.com,Thisiumok,etoMoo1ch,504-302-9210,Crocker,5/23/1975,42,4.49E+15,658,435-55-5029,A+,96.2,159,29.905559,-90.281467
Mary,Fletcher,2548 Echo Lane,Marshall,MI,Michigan,49068,MarySFletcher@jourrapide.com,Stinced,caeS8eiShie,269-781-1856,Gordon,2/9/1967,50,4.92E+15,930,385-06-6985,A+,90.7,161,42.231979,-84.975325
Margert,Meece,2108 Tator Patch Road,Chicago,IL,Illinois,60603,MargertWMeece@einrot.com,Capils,joLaeK0aFee,312-937-3314,Jett,6/12/1986,31,4.92E+15,753,327-96-5876,A+,63.6,170,41.950237,-87.693342
Sarah,Smith,2981 Snyder Avenue,Charlotte,NC,North Carolina,28262,SarahRSmith@teleworm.us,Onfiess,vahr9ahJ,704-717-7382,Decker,1/14/1975,42,4.56E+15,625,239-49-2980,O+,66.1,172,35.341148,-80.757127
Lee,Griswold,2783 Emeral Dreams Drive,Rockford,IL,Illinois,61101,LeeLGriswold@teleworm.us,Formiscrad75,aeMoh1Equ,815-262-8355,Thomas,1/4/1975,42,5.14E+15,724,335-48-9575,B+,116,181,42.267173,-89.218696
Josephine,Haskins,1489 School Street,Washington,DC,Washington DC,20007,JosephineAHaskins@einrot.com,Lovenced1951,eiYei1aesah,202-943-8405,Follmer,3/18/1951,66,5.53E+15,110,578-46-7271,B+,97.5,151,38.82325,-77.145523
Samantha,Mondor,3344 Benson Street,Goodman,WI,Wisconsin,54125,SamanthaJMondor@cuvox.de,Pithery,yai7cie0Lie,715-336-8133,Desimone,1/6/1932,85,4.92E+15,333,393-84-5266,A-,52.7,153,45.653595,-88.258447
Guadalupe,Dyer,2035 Walnut Street,Jackson,MS,Mississippi,39201,GuadalupeJDyer@einrot.com,Haturn,Za7aiphail9,601-575-8217,Polanco,11/4/1956,60,5.37E+15,787,428-54-1022,A+,84.4,170,32.361826,-90.161687
Shirley,Hanson,1476 West Street,Grand Rapids,MI,Michigan,49546,ShirleyNHanson@superrito.com,Annere,Ahcota9oh,616-575-5412,Daniels,5/2/1959,58,5.21E+15,761,372-01-4910,A+,66.9,154,42.961454,-85.517012
Peter,Allen,1107 Reeves Street,Stevens Point,WI,Wisconsin,54481,PeterHAllen@armyspy.com,Frappovately,uicae9ooZie,920-818-8376,Ruel,8/29/1939,77,4.92E+15,424,390-76-2124,A+,61.9,162,44.525699,-89.521047
Floyd,Terry,1845 Kessla Way,Florence,SC,South Carolina,29501,FloydATerry@teleworm.us,Twithering,oPh8aekei,843-292-8989,Morgan,7/19/1986,30,4.92E+15,944,656-01-3713,B+,109.2,180,34.112958,-79.902977
Jamie,Juneau,98 Retreat Avenue,Birmingham,AL,Alabama,35222,JamieDJuneau@einrot.com,Morlithe51,Jo0edaolah,205-305-6690,Feeney,11/25/1951,65,5.11E+15,364,420-30-0839,A-,57.3,166,33.594952,-86.704185
Dorothy,Kifer,3676 Waldeck Street,Plano,TX,Texas,75074,DorothyTKifer@gustr.com,Goomed,joenai7Ie,817-450-7306,Johnson,1/31/1939,78,4.93E+15,312,460-04-6903,O+,48.8,156,33.021384,-96.659697
Catherine,Pierce,3870 George Street,Gainesville,FL,Florida,32601,CatherineGPierce@armyspy.com,Covir1963,eetee4Wef4,352-445-0480,Webber,1/23/1963,54,5.11E+15,492,261-81-3935,B+,87.3,163,29.713407,-82.361424
Shirley,Sherrick,3742 Hott Street,Oklahoma City,OK,Oklahoma,73115,ShirleyLSherrick@teleworm.us,Truirallith,ujoi4AVuqu,405-672-6760,Smith,10/7/1954,62,4.54E+15,924,442-76-1213,A-,69.8,166,35.46459,-97.387116
Sharon,Earl,2376 Stoney Lane,Dallas,TX,Texas,75201,SharonBEarl@teleworm.us,Linne1941,wiQuigh3ech9,972-992-4126,Bowie,6/13/1941,76,4.92E+15,501,630-12-1663,O+,51.5,153,32.727278,-96.832331
Douglas,Blas,796 Patton Lane,Raleigh,NC,North Carolina,27610,DouglasKBlas@einrot.com,Quind1981,Uu3xookee,919-250-6447,Furr,10/31/1981,35,5.32E+15,68,682-05-2903,O+,94.2,181,35.804932,-78.537662
Kenneth,Smith,115 Hickory Street,Salt Lake City,UT,Utah,84104,KennethBSmith@superrito.com,Stichery,ELai8eeNgee,801-682-8202,Brown,10/24/1985,31,4.54E+15,549,647-62-1788,O+,68.5,189,40.804503,-111.917092
Kirsten,Pettengill,383 Dye Street,Phoenix,AZ,Arizona,85040,KirstenJPettengill@jourrapide.com,Butle1943,Ishie7eim0g,480-797-7097,Root,4/21/1943,74,5.51E+15,20,601-93-3389,B-,66.4,159,33.357364,-111.957844
Billy,Roberts,3638 Mulberry Lane,West Palm Beach,FL,Florida,33404,BillyDRoberts@dayrep.com,Goety1934,saibe0yeeW,561-882-5429,Pugliese,5/8/1934,83,5.55E+15,393,593-15-8322,O+,72.4,170,26.686561,-79.999764
Ruby,Pascale,1088 Stoney Lonesome Road,Scranton,PA,Pennsylvania,18503,RubyRPascale@gustr.com,Joull1949,ae3Quaip1te,570-393-4104,Crain,11/30/1949,67,4.72E+15,409,185-30-8236,A+,89.7,152,41.504235,-75.690713
Donald,Baxter,3357 Grim Avenue,San Diego,CA,California,92105,DonaldPBaxter@einrot.com,Sidlits,quahkoo2aiP,619-783-6992,Mendieta,10/20/1951,65,5.11E+15,288,562-79-9561,B+,81,166,32.794783,-117.066158
Christopher,Woods,1380 Carriage Lane,Toledo,OH,Ohio,43615,ChristopherTWoods@gustr.com,Ensterly,eeng5iePah,567-429-6121,Hicks,2/24/1986,31,4.93E+15,446,284-20-7293,A+,66.8,178,41.617528,-83.693251
William,Moore,4278 Summit Park Avenue,Pontiac,MI,Michigan,48342,WilliamNMoore@jourrapide.com,Dend1948,EiTeihem0wo,248-972-4969,Roach,3/16/1948,69,5.20E+15,642,374-07-5441,A+,102.3,172,42.727178,-83.227501
Erik,Thompson,1747 Rocky Road,Philadelphia,PA,Pennsylvania,19103,ErikSThompson@armyspy.com,Sposee1941,oocooFoo8,215-686-3231,Rock,8/11/1941,75,4.72E+15,171,175-10-9044,B+,94.9,164,39.95636,-75.194614
